period,low_price,high_price,last_price,weight_avg_price,buy_volume,sell_volume,volume,rpd,rpd_hh
00:00 - 00:30,52.88,76.9,63.93,65.59,2034.2,2034.2,2034.2,64.63,65.59
00:30 - 01:00,36.25,66.49,55.0,59.86,1760.5,1760.5,1760.5,59.53,59.86
01:00 - 01:30,45.2,67.0,48.0,54.82,1514.1,1514.1,1514.1,55.2,54.82
01:30 - 02:00,34.41,64.54,56.64,51.76,1762.1,1762.1,1762.1,52.5,51.76
02:00 - 02:30,20.0,57.03,30.01,41.44,1594.9,1594.9,1594.9,40.9,41.44
02:30 - 03:00,5.08,46.43,15.01,27.66,1479.4,1479.4,1479.4,29.4,27.66
03:00 - 03:30,15.01,53.0,15.01,33.47,1899.6,1899.6,1899.6,34.09,33.47
03:30 - 04:00,16.01,44.72,28.97,28.81,2008.3,2008.3,2008.3,30.0,28.81
04:00 - 04:30,20.51,42.28,42.28,28.09,1707.5,1707.5,1707.5,28.12,28.09
04:30 - 05:00,18.33,58.0,52.22,32.29,2171.1,2171.1,2171.1,31.66,32.29
05:00 - 05:30,24.02,49.88,33.02,35.73,2565.5,2565.5,2565.5,34.71,35.73
05:30 - 06:00,23.58,59.2,54.92,40.9,2324.2,2324.2,2324.2,39.03,40.9
06:00 - 06:30,39.0,63.85,56.0,52.38,2066.0,2066.0,2066.0,53.0,52.38
06:30 - 07:00,40.13,77.0,73.7,63.71,2509.1,2509.1,2509.1,63.59,63.71
07:00 - 07:30,30.8,83.0,83.0,73.45,2095.8,2095.8,2095.8,72.67,73.45
07:30 - 08:00,40.0,89.01,86.92,80.29,2525.3,2525.3,2525.3,79.25,80.29
08:00 - 08:30,53.0,82.87,72.58,75.28,2869.3,2869.3,2869.3,76.31,75.28
08:30 - 09:00,53.0,89.88,85.0,84.04,2745.1,2745.1,2745.1,83.83,84.04
09:00 - 09:30,69.0,85.99,81.65,81.36,1637.0,1637.0,1637.0,81.63,81.36
09:30 - 10:00,77.91,90.81,86.0,85.15,2216.6,2216.6,2216.6,84.7,85.15
10:00 - 10:30,75.0,92.58,86.07,86.55,1440.7,1440.7,1440.7,86.48,86.55
10:30 - 11:00,73.0,91.07,79.0,85.95,1826.7,1826.7,1826.7,86.06,85.95
11:00 - 11:30,66.2,94.61,79.0,84.42,1702.4,1702.4,1702.4,84.99,84.42
11:30 - 12:00,65.04,95.0,66.0,80.46,2594.7,2594.7,2594.7,81.73,80.46
12:00 - 12:30,58.96,94.4,60.0,75.74,1765.7,1765.7,1765.7,77.91,75.74
12:30 - 13:00,58.07,90.0,62.0,71.73,2171.9,2171.9,2171.9,75.05,71.73
13:00 - 13:30,58.0,88.17,67.0,71.19,1691.3,1691.3,1691.3,75.28,71.19
13:30 - 14:00,61.38,87.54,65.0,71.32,2601.0,2601.0,2601.0,74.39,71.32
14:00 - 14:30,67.42,84.99,84.0,74.96,1928.5,1928.5,1928.5,75.84,74.96
14:30 - 15:00,64.03,90.72,89.1,78.37,1856.1,1856.1,1856.1,77.6,78.37
15:00 - 15:30,70.0,89.5,81.99,81.68,2417.4,2417.4,2417.4,79.62,81.68
15:30 - 16:00,67.7,87.97,78.35,79.7,2420.9,2420.9,2420.9,78.47,79.7
16:00 - 16:30,59.5,84.89,69.86,75.31,1872.7,1872.7,1872.7,76.3,75.31
16:30 - 17:00,68.1,84.68,80.0,78.09,2233.4,2233.4,2233.4,78.27,78.09
17:00 - 17:30,63.0,87.94,72.86,75.46,1533.2,1533.2,1533.2,76.55,75.46
17:30 - 18:00,60.0,84.43,60.0,72.76,1984.4,1984.4,1984.4,74.41,72.76
18:00 - 18:30,56.18,88.85,60.02,71.45,1842.0,1842.0,1842.0,72.68,71.45
18:30 - 19:00,65.51,83.62,67.85,73.09,1996.9,1996.9,1996.9,73.77,73.09
19:00 - 19:30,48.1,79.69,50.52,65.14,2365.5,2365.5,2365.5,67.79,65.14
19:30 - 20:00,25.4,76.7,48.54,64.32,2360.4,2360.4,2360.4,67.19,64.32
20:00 - 20:30,65.0,91.5,87.15,78.29,2209.8,2209.8,2209.8,76.7,78.29
20:30 - 21:00,70.0,89.03,86.11,77.43,2380.4,2380.4,2380.4,76.14,77.43
21:00 - 21:30,69.01,94.26,92.0,84.06,2170.3,2170.3,2170.3,80.87,84.06
21:30 - 22:00,65.37,96.11,90.0,81.99,2227.6,2227.6,2227.6,79.42,81.99
22:00 - 22:30,35.81,86.67,81.04,67.42,2209.1,2209.1,2209.1,63.16,67.42
22:30 - 23:00,0.01,67.9,50.75,46.48,2264.6,2264.6,2264.6,45.21,46.48
23:00 - 23:30,2.74,48.01,12.0,23.87,3287.2,3287.2,3287.2,25.22,23.87
23:30 - 24:00,-11.95,20.0,0.0,6.42,3131.2,3131.2,3131.2,9.66,6.42
