period,buy_volume,sell_volume,volume,price
00:00 - 00:30,173.6,397.0,397.0,16.77
00:30 - 01:00,235.8,461.0,461.0,2.57
01:00 - 01:30,282.1,394.7,394.7,7.56
01:30 - 02:00,232.5,319.8,319.8,4.3
02:00 - 02:30,158.9,215.5,215.5,8.43
02:30 - 03:00,184.0,206.9,206.9,8.27
03:00 - 03:30,122.9,236.6,236.6,9.98
03:30 - 04:00,127.9,236.5,236.5,9.95
04:00 - 04:30,173.0,247.4,247.4,10.36
04:30 - 05:00,236.2,292.4,292.4,5.45
05:00 - 05:30,453.3,319.4,453.3,6.0
05:30 - 06:00,465.7,333.8,465.7,8.14
06:00 - 06:30,432.5,259.8,432.5,34.0
06:30 - 07:00,338.6,254.0,338.6,36.05
07:00 - 07:30,334.7,350.3,350.3,57.5
07:30 - 08:00,460.8,519.2,519.2,62.5
08:00 - 08:30,204.3,313.9,313.9,76.0
08:30 - 09:00,239.2,423.0,423.0,83.22
09:00 - 09:30,200.8,356.2,356.2,81.75
09:30 - 10:00,171.0,401.8,401.8,84.91
10:00 - 10:30,140.2,461.4,461.4,80.07
10:30 - 11:00,120.9,520.9,520.9,76.6
11:00 - 11:30,136.0,491.2,491.2,73.85
11:30 - 12:00,132.0,559.6,559.6,68.0
12:00 - 12:30,147.2,469.1,469.1,74.0
12:30 - 13:00,151.9,509.3,509.3,72.89
13:00 - 13:30,173.6,576.7,576.7,69.59
13:30 - 14:00,157.3,595.5,595.5,66.89
14:00 - 14:30,164.8,585.1,585.1,67.44
14:30 - 15:00,159.9,555.8,555.8,66.97
15:00 - 15:30,127.1,638.9,638.9,72.75
15:30 - 16:00,123.4,701.8,701.8,75.02
16:00 - 16:30,86.9,728.1,728.1,76.17
16:30 - 17:00,101.9,711.2,711.2,83.15
17:00 - 17:30,96.5,797.8,797.8,89.0
17:30 - 18:00,128.2,768.3,768.3,92.99
18:00 - 18:30,146.1,829.6,829.6,93.45
18:30 - 19:00,135.4,849.2,849.2,95.3
19:00 - 19:30,133.0,783.3,783.3,94.58
19:30 - 20:00,135.6,815.9,815.9,94.0
20:00 - 20:30,137.8,838.1,838.1,90.46
20:30 - 21:00,111.8,750.3,750.3,88.0
21:00 - 21:30,114.5,641.6,641.6,83.4
21:30 - 22:00,131.9,523.1,523.1,78.38
22:00 - 22:30,168.5,311.3,311.3,83.12
22:30 - 23:00,154.4,315.5,315.5,78.95
23:00 - 23:30,191.6,258.3,258.3,79.97
23:30 - 24:00,275.5,340.9,340.9,78.0
